rooms,year_built,location,building_floor_num,garage,district,leasing,balcony,size_meters,door_type,apartment_floor_num,window_type,num_windows,floor_type
3 өрөө,2010,Бусад,12,Байхгүй,Хан-Уул,Банкны лизингтэй,2 тагттай,91.0,Бүргэд,4,Вакум,5,Паркет
3 өрөө,2012,Зайсан,10,Байгаа,Хан-Уул,Лизинггүй,Тагтгүй,103.0,Бүргэд,10,Вакум,3,Паркет
2 өрөө,2017,Бусад,12,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,52.12,Бүргэд,8,Вакум,3,Паркет
3 өрөө,2019,16-р хороолол,16,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,55.8,Бүргэд,7,Вакум,3,Паркет
3 өрөө,2016,Офицер,16,Байхгүй,Баянзүрх,Лизинггүй,Тагтгүй,82.0,Бүргэд,14,Вакум,4,Паркет
5+ өрөө,2019,Яармаг,5,Байгаа,Хан-Уул,Хувь лизингтэй,3+ тагттай,250.0,Бүргэд,1,Вакум,8,Паркет
3 өрөө,2019,Амгалан,12,Байхгүй,Баянзүрх,Хувь лизингтэй,1 тагттай,84.0,Төмөр,9,Вакум,3,Паркет
3 өрөө,2005,"3, 4 хороолол",10,Байгаа,Баянгол,Хувь лизингтэй,1 тагттай,81.0,Бүргэд,5,Вакум,5,Паркет
1 өрөө,2010,Москва хороолол,9,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,44.66,Бүргэд,3,Вакум,2,Паркет
2 өрөө,2011,10-р хороолол,13,Байхгүй,Баянгол,Лизинггүй,1 тагттай,44.11,Бүргэд,8,Вакум,3,Паркет
2 өрөө,2019,Нисэх,15,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,54.0,Бүргэд,10,Вакум,2,Паркет
2 өрөө,2013,14-р хороолол,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,53.794,Бүргэд,10,Вакум,3,Паркет
3 өрөө,2012,Бусад,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,94.0,Бүргэд,10,Вакум,3,Паркет
2 өрөө,2010,Бусад,15,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,35.0,Бүргэд,12,Вакум,2,Паркет
3 өрөө,2018,Амгалан,12,Байхгүй,Баянзүрх,Хувь лизингтэй,1 тагттай,45.0,Бүргэд,3,Вакум,3,Паркет
2 өрөө,2010,21-р хороолол,12,Байхгүй,Сонгино Хайрхан,Хувь лизингтэй,1 тагттай,55.0,Бүргэд,4,Вакум,2,Паркет
2 өрөө,2013,10-р хороолол,12,Байгаа,Баянгол,Лизинггүй,1 тагттай,64.0,Бүргэд,11,Вакум,3,Паркет
4 өрөө,2008,10-р хороолол,3,Байгаа,Баянгол,Хувь лизингтэй,2 тагттай,86.0,Бүргэд,2,Вакум,4,Паркет
4 өрөө,2019,Яармаг,10,Байхгүй,Хан-Уул,Хувь лизингтэй,2 тагттай,139.6,Төмөр,2,Вакум,8,Паркет
3 өрөө,2018,Зайсан,4,Байхгүй,Хан-Уул,Лизинггүй,2 тагттай,102.0,Бүргэд,4,Төмөр вакум,5,Паркет
5+ өрөө,2013,13-р хороолол,12,Байгаа,Баянзүрх,Лизинггүй,3+ тагттай,125.0,Бүргэд,4,Вакум,6,Паркет
2 өрөө,2009,120 мянгат,14,Байгаа,Хан-Уул,Лизинггүй,1 тагттай,68.0,Төмөр вакум,4,Вакум,3,Паркет
3 өрөө,2007,13-р хороолол,5,Байхгүй,Баянзүрх,Лизинггүй,2 тагттай,87.0,Бүргэд,5,Вакум,3,Паркет
2 өрөө,2016,13-р хороолол,13,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,50.0,Бүргэд,3,Вакум,2,Паркет
2 өрөө,2014,Viva city,5,Байхгүй,Хан-Уул,Лизинггүй,Тагтгүй,31.0,Бүргэд,5,Вакум,2,Паркет
2 өрөө,2017,21-р хороолол,15,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,48.0,Бүргэд,11,Вакум,3,Паркет
2 өрөө,1985,"40, 50 мянгат",4,Байхгүй,Чингэлтэй,Лизинггүй,1 тагттай,52.0,Бүргэд,2,Мод,3,Мод
3 өрөө,2012,13-р хороолол,9,Байгаа,Баянзүрх,Лизинггүй,1 тагттай,95.0,Бүргэд,5,Вакум,4,Паркет
