rooms,year_built,location,building_floor_num,garage,district,leasing,balcony,size_meters,door_type,apartment_floor_num,window_type,num_windows,floor_type
2 өрөө,2013,11-р хороолол,12,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,48.0,Бүргэд,7,Вакум,3,Паркет
1 өрөө,1990,5-р хороолол,5,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,19.0,Бүргэд,2,Вакум,2,Паркет
3 өрөө,1986,Нисэх,5,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,72.0,Бүргэд,1,Вакум,4,Мод
2 өрөө,2015,100 айл,11,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,58.4,Бүргэд,7,Вакум,4,Паркет
3 өрөө,2005,Офицер,4,Байгаа,Баянзүрх,Лизинггүй,Тагтгүй,98.0,Бүргэд,4,Вакум,8,Паркет
2 өрөө,1982,"3, 4 хороолол",9,Байхгүй,Баянгол,Лизинггүй,1 тагттай,35.0,Бүргэд,2,Вакум,5,Паркет
2 өрөө,2020,"3, 4 хороолол",3,Байхгүй,Хан-Уул,Банкны лизингтэй,1 тагттай,54.98,Бүргэд,3,Вакум,2,Паркет
2 өрөө,2015,Зүүн 4 зам,15,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,64.0,Бүргэд,15,Вакум,3,Паркет
3 өрөө,2014,Бусад,6,Байхгүй,Баянгол,Лизинггүй,2 тагттай,80.0,Бүргэд,5,Вакум,4,Паркет
1 өрөө,2019,"3, 4 хороолол",16,Байхгүй,Баянгол,Хувь лизингтэй,1 тагттай,34.3,Бүргэд,12,Вакум,2,Паркет
3 өрөө,2017,Бусад,16,Байхгүй,Баянзүрх,Лизинггүй,Тагтгүй,76.3,Бүргэд,14,Вакум,6,Паркет
3 өрөө,1980,Баруун 4 зам,5,Байхгүй,Баянгол,Лизинггүй,1 тагттай,68.0,Бүргэд,2,Вакум,4,Паркет
2 өрөө,2019,15-р хороолол,16,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,50.79,Бүргэд,1,Вакум,2,Паркет
2 өрөө,2019,"3, 4 хороолол",16,Байхгүй,Баянгол,Хувь лизингтэй,Тагтгүй,54.6,Төмөр,9,Вакум,3,Паркет
2 өрөө,2011,10-р хороолол,6,Байхгүй,Баянгол,Лизинггүй,1 тагттай,66.0,Бүргэд,4,Вакум,3,Паркет
2 өрөө,2019,Нэхмэлийн шар,16,Байхгүй,Хан-Уул,Хувь лизингтэй,1 тагттай,54.0,Төмөр,12,Вакум,2,Паркет
3 өрөө,2010,16-р хороолол,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,65.0,Бүргэд,10,Вакум,3,Паркет
3 өрөө,2016,"3, 4 хороолол",10,Байхгүй,Баянгол,Лизинггүй,1 тагттай,78.3,Бүргэд,2,Вакум,3,Паркет
2 өрөө,1990,1-р хороолол,9,Байхгүй,Сонгино Хайрхан,Лизинггүй,2 тагттай,30.0,Бүргэд,8,Вакум,4,Цемент
3 өрөө,2010,Зайсан,6,Байгаа,Хан-Уул,Хувь лизингтэй,1 тагттай,98.0,Бүргэд,6,Вакум,5,Паркет
2 өрөө,2015,"3, 4 хороолол",12,Байгаа,Баянгол,Лизинггүй,Тагтгүй,45.0,Бүргэд,1,Вакум,3,Паркет
3 өрөө,2015,13-р хороолол,14,Байгаа,Баянзүрх,Банкны лизингтэй,2 тагттай,95.59,Бүргэд,4,Вакум,4,Паркет
2 өрөө,2016,King Tower,10,Байхгүй,Хан-Уул,Лизинггүй,Тагтгүй,77.5,Бүргэд,8,Вакум,2,Паркет
3 өрөө,2013,Их Монгол хороолол,10,Байхгүй,Баянзүрх,Лизинггүй,2 тагттай,61.0,Бүргэд,2,Вакум,4,Паркет
3 өрөө,2011,Зайсан,6,Байгаа,Хан-Уул,Банкны лизингтэй,1 тагттай,82.0,Бүргэд,4,Вакум,3,Паркет
3 өрөө,1998,6-р бичил,9,Байхгүй,Баянгол,Лизинггүй,1 тагттай,75.0,Бүргэд,8,Вакум,4,Паркет
3 өрөө,1988,13-р хороолол,9,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,43.0,Бүргэд,6,Вакум,4,Паркет
2 өрөө,2019,Бусад,12,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,59.0,Бүргэд,5,Вакум,3,Паркет
2 өрөө,2013,13-р хороолол,16,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,34.76,Бүргэд,12,Вакум,2,Паркет
3 өрөө,2014,13-р хороолол,15,Байгаа,Баянзүрх,Лизинггүй,2 тагттай,103.0,Бүргэд,3,Вакум,6,Паркет
2 өрөө,1985,"3, 4 хороолол",9,Байхгүй,Баянгол,Лизинггүй,1 тагттай,54.0,Мод,6,Вакум,3,Паркет
2 өрөө,2018,13-р хороолол,16,Байхгүй,Баянзүрх,Хувь лизингтэй,1 тагттай,47.0,Бүргэд,3,Вакум,2,Паркет
2 өрөө,2019,100 айл,10,Байгаа,Баянзүрх,Хувь лизингтэй,2 тагттай,56.0,Бүргэд,10,Вакум,2,Паркет
4 өрөө,2014,King Tower,12,Байхгүй,Хан-Уул,Хувь лизингтэй,1 тагттай,167.0,Төмөр,8,Мод,5,Паркет
3 өрөө,2011,Бусад,9,Байхгүй,Хан-Уул,Лизинггүй,2 тагттай,72.0,Бүргэд,4,Вакум,4,Паркет
2 өрөө,2009,"3, 4 хороолол",12,Байхгүй,Баянгол,Банкны лизингтэй,1 тагттай,66.0,Бүргэд,9,Вакум,3,Паркет
3 өрөө,2011,13-р хороолол,12,Байгаа,Баянзүрх,Лизинггүй,1 тагттай,95.0,Бүргэд,5,Вакум,4,Паркет
3 өрөө,2016,16-р хороолол,9,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,93.0,Бүргэд,2,Вакум,3,Паркет
1 өрөө,2012,10-р хороолол,16,Байхгүй,Баянгол,Лизинггүй,1 тагттай,30.0,Бүргэд,16,Вакум,1,Паркет
2 өрөө,2010,Хурд,12,Байхгүй,Хан-Уул,Хувь лизингтэй,1 тагттай,65.0,Бүргэд,9,Вакум,3,Паркет
3 өрөө,2019,Бусад,16,Байхгүй,Баянзүрх,Лизинггүй,Тагтгүй,73.15,Бүргэд,2,Вакум,3,Паркет
2 өрөө,2019,Бусад,10,Байхгүй,Баянзүрх,Банкны лизингтэй,1 тагттай,42.8,Төмөр,8,Вакум,2,Паркет
2 өрөө,2018,Бусад,5,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,50.0,Бүргэд,2,Вакум,3,Паркет
2 өрөө,2019,100 айл,10,Байгаа,Сүхбаатар,Банкны лизингтэй,1 тагттай,45.0,Бүргэд,7,Вакум,2,Паркет
3 өрөө,2018,Нарны хороолол,12,Байхгүй,Баянгол,Банкны лизингтэй,1 тагттай,88.0,Бүргэд,1,Вакум,4,Паркет
2 өрөө,2015,Зүүн 4 зам,5,Байхгүй,Баянзүрх,Лизинггүй,Тагтгүй,52.0,Бүргэд,1,Вакум,3,Паркет
3 өрөө,2017,19-р хороолол,16,Байгаа,Хан-Уул,Банкны лизингтэй,2 тагттай,100.48,Бүргэд,6,Вакум,4,Паркет
3 өрөө,2018,25-р эмийн сан,12,Байхгүй,Баянгол,Хувь лизингтэй,1 тагттай,84.0,Бүргэд,7,Вакум,5,Паркет
2 өрөө,2013,16-р хороолол,6,Байхгүй,Баянзүрх,Банкны лизингтэй,1 тагттай,45.0,Бүргэд,6,Вакум,2,Паркет
2 өрөө,2010,Бусад,9,Байхгүй,Чингэлтэй,Банкны лизингтэй,1 тагттай,63.0,Бүргэд,6,Вакум,3,Паркет
2 өрөө,2013,Бусад,16,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,34.7,Бүргэд,12,Вакум,2,Паркет
1 өрөө,2014,Бусад,9,Байхгүй,Хан-Уул,Лизинггүй,Тагтгүй,38.0,Төмөр,1,Вакум,1,Паркет
2 өрөө,2020,Яармаг,13,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,51.83,Бүргэд,7,Вакум,2,Паркет
2 өрөө,2016,14-р хороолол,6,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,48.0,Бүргэд,2,Вакум,2,Паркет
2 өрөө,2015,Сансар,12,Байгаа,Баянзүрх,Лизинггүй,Тагтгүй,42.7,Бүргэд,2,Вакум,2,Паркет
4 өрөө,2013,Нарны хороолол,12,Байгаа,Баянгол,Хувь лизингтэй,2 тагттай,125.0,Бүргэд,3,Вакум,6,Паркет
4 өрөө,2016,Бусад,10,Байхгүй,Баянзүрх,Лизинггүй,2 тагттай,94.1,Бүргэд,6,Вакум,4,Паркет
2 өрөө,2016,Зайсан,18,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,77.0,Төмөр,14,Вакум,2,Паркет
2 өрөө,1991,Бусад,12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,29.0,Бүргэд,3,Вакум,2,Паркет
2 өрөө,2012,"3, 4 хороолол",1,Байгаа,Баянгол,Лизинггүй,1 тагттай,54.6,Бүргэд,1,Вакум,3,Паркет
2 өрөө,2019,13-р хороолол,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,45.0,Бүргэд,6,Вакум,2,Паркет
2 өрөө,2010,"3, 4 хороолол",12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,45.0,Бүргэд,9,Вакум,3,Паркет
3 өрөө,2014,220 мянгат,15,Байгаа,Сүхбаатар,Лизинггүй,Тагтгүй,124.0,Бүргэд,7,Вакум,4,Паркет
3 өрөө,1990,1-р хороолол,9,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,80.0,Бүргэд,1,Вакум,4,Паркет
4 өрөө,1998,Бусад,5,Байхгүй,Сүхбаатар,Лизинггүй,Тагтгүй,43.0,Бүргэд,1,Вакум,5,Паркет
1 өрөө,2014,14-р хороолол,17,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,35.0,Вакум,7,Вакум,1,Паркет
3 өрөө,2020,Бусад,10,Байгаа,Баянзүрх,Лизинггүй,1 тагттай,87.0,Төмөр,9,Вакум,4,Паркет
3 өрөө,2010,"3, 4 хороолол",12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,63.0,Бүргэд,12,Вакум,3,Паркет
4 өрөө,2010,Хурд,9,Байгаа,Хан-Уул,Хувь лизингтэй,2 тагттай,129.0,Төмөр,5,Вакум,5,Паркет
3 өрөө,2012,16-р хороолол,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,80.0,Бүргэд,7,Вакум,3,Паркет
4 өрөө,2019,Яармаг,10,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,139.0,Бүргэд,2,Вакум,6,Паркет
3 өрөө,2020,Нэхмэлийн шар,16,Байхгүй,Хан-Уул,Банкны лизингтэй,1 тагттай,75.0,Төмөр вакум,6,Вакум,3,Паркет
4 өрөө,2019,River Garden,14,Байгаа,Хан-Уул,Лизинггүй,1 тагттай,140.7,Төмөр вакум,8,Вакум,4,Паркет
2 өрөө,2014,5 шар,15,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,27.0,Бүргэд,12,Вакум,2,Паркет
2 өрөө,2019,"40, 50 мянгат",15,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,64.0,Төмөр,10,Вакум,2,Паркет
3 өрөө,2009,19-р хороолол,6,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,68.0,Бүргэд,2,Вакум,4,Паркет
2 өрөө,2020,Эрдэнэ толгой,16,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,44.9,Бүргэд,10,Вакум,2,Паркет
1 өрөө,1999,6-р бичил,6,Байхгүй,Баянгол,Лизинггүй,1 тагттай,50.0,Бүргэд,2,Вакум,2,Цемент
3 өрөө,2020,"3, 4 хороолол",5,Байгаа,Баянгол,Хувь лизингтэй,1 тагттай,89.0,Бүргэд,4,Вакум,4,Паркет
2 өрөө,2013,11-р хороолол,12,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,48.0,Бүргэд,7,Вакум,3,Паркет
3 өрөө,2013,"3, 4 хороолол",4,Байхгүй,Баянгол,Банкны лизингтэй,1 тагттай,72.0,Бүргэд,2,Вакум,4,Паркет
3 өрөө,2013,Баянмонгол хороолол,16,Байгаа,Хан-Уул,Лизинггүй,1 тагттай,110.6,Бүргэд,8,Вакум,4,Паркет
1 өрөө,1990,13-р хороолол,9,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,30.0,Бүргэд,7,Вакум,3,Паркет
3 өрөө,2019,Яармаг,9,Байгаа,Хан-Уул,Хувь лизингтэй,2 тагттай,80.0,Төмөр вакум,6,Төмөр вакум,4,Паркет
2 өрөө,2020,Яармаг,12,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,60.6,Бүргэд,3,Вакум,2,Паркет
1 өрөө,2007,6-р бичил,3,Байхгүй,Баянгол,Лизинггүй,Тагтгүй,18.0,Бүргэд,2,Вакум,1,Цемент
3 өрөө,1998,Сансар,4,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,39.0,Төмөр,4,Мод,4,Паркет
1 өрөө,2015,Тээврийн товчоо,12,Байгаа,Баянгол,Хувь лизингтэй,1 тагттай,42.0,Бүргэд,7,Вакум,1,Паркет
4 өрөө,2014,Баянмонгол хороолол,15,Байгаа,Баянзүрх,Лизинггүй,2 тагттай,134.0,Төмөр,7,Вакум,8,Паркет
3 өрөө,2019,Яармаг,5,Байхгүй,Хан-Уул,Хувь лизингтэй,1 тагттай,61.0,Төмөр,2,Вакум,3,Паркет
3 өрөө,2020,Хүннү,14,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,71.0,Бүргэд,9,Вакум,3,Паркет
1 өрөө,1999,100 айл,6,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,16.0,Бүргэд,6,Вакум,2,Паркет
2 өрөө,2019,13-р хороолол,16,Байхгүй,Баянзүрх,Банкны лизингтэй,1 тагттай,51.0,Төмөр,11,Вакум,2,Паркет
4 өрөө,2019,"40, 50 мянгат",24,Байгаа,Сүхбаатар,Лизинггүй,2 тагттай,142.0,Бүргэд,22,Вакум,5,Паркет
4 өрөө,2015,Хүннү,23,Байхгүй,Хан-Уул,Лизинггүй,2 тагттай,117.0,Төмөр,1,Вакум,5,Паркет
3 өрөө,2017,Бусад,16,Байхгүй,Хан-Уул,Лизинггүй,2 тагттай,79.0,Бүргэд,1,Вакум,4,Паркет
2 өрөө,1991,Төмөр зам,5,Байхгүй,Баянгол,Лизинггүй,1 тагттай,29.0,Бүргэд,5,Вакум,2,Паркет
2 өрөө,2013,"3, 4 хороолол",11,Байгаа,Баянгол,Лизинггүй,1 тагттай,76.72,Бүргэд,7,Вакум,3,Паркет
2 өрөө,2019,Нисэх,11,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,54.0,Бүргэд,1,Вакум,3,Паркет
1 өрөө,2010,"3, 4 хороолол",9,Байхгүй,Баянгол,Лизинггүй,1 тагттай,42.0,Бүргэд,4,Вакум,2,Паркет
2 өрөө,2018,Өгөөмөр захын зүүн,12,Байхгүй,Баянзүрх,Хувь лизингтэй,1 тагттай,51.0,Бүргэд,1,Вакум,2,Паркет
4 өрөө,2017,Бусад,12,Байхгүй,Баянзүрх,Хувь лизингтэй,1 тагттай,134.0,Бүргэд,8,Вакум,6,Паркет
3 өрөө,2012,UB Town,6,Байгаа,Хан-Уул,Лизинггүй,2 тагттай,93.0,Төмөр,2,Вакум,4,Паркет
4 өрөө,2014,13-р хороолол,5,Байгаа,Баянзүрх,Лизинггүй,2 тагттай,120.0,Төмөр,4,Вакум,5,Паркет
1 өрөө,2014,Нисэх,10,Байхгүй,Хан-Уул,Банкны лизингтэй,1 тагттай,42.32,Бүргэд,5,Вакум,1,Паркет
2 өрөө,2019,Нисэх,12,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,51.59,Бүргэд,3,Вакум,2,Паркет
2 өрөө,2014,Бусад,12,Байгаа,Баянзүрх,Лизинггүй,1 тагттай,46.94,Бүргэд,12,Вакум,2,Паркет
2 өрөө,2009,15-р хороолол,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,51.0,Бүргэд,4,Модон вакум,2,Ламинат
2 өрөө,1995,25-р эмийн сан,6,Байхгүй,Баянгол,Лизинггүй,1 тагттай,60.0,Бүргэд,2,Вакум,4,Паркет
2 өрөө,2014,5 шар,5,Байхгүй,Сонгино Хайрхан,Банкны лизингтэй,1 тагттай,38.83,Бүргэд,3,Вакум,3,Паркет
1 өрөө,2015,Нарны хороолол,12,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,39.52,Бүргэд,4,Вакум,1,Паркет
4 өрөө,2013,13-р хороолол,12,Байгаа,Баянзүрх,Лизинггүй,Тагтгүй,120.0,Төмөр,8,Вакум,7,Паркет
3 өрөө,2012,Алтай хотхон,10,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,73.0,Бүргэд,6,Вакум,3,Паркет
1 өрөө,2012,16-р хороолол,5,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,21.0,Төмөр,2,Вакум,1,Паркет
2 өрөө,2015,Цэлмэг хотхон,12,Байгаа,Хан-Уул,Лизинггүй,1 тагттай,54.22,Бүргэд,4,Вакум,3,Паркет
2 өрөө,2010,"3, 4 хороолол",12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,45.0,Төмөр,2,Вакум,3,Паркет
1 өрөө,2009,10-р хороолол,5,Байхгүй,Баянгол,Лизинггүй,Тагтгүй,22.15,Бүргэд,1,Вакум,1,Паркет
2 өрөө,1980,"3, 4 хороолол",9,Байхгүй,Баянгол,Лизинггүй,1 тагттай,29.0,Бүргэд,9,Мод,3,Паркет
2 өрөө,2020,120 мянгат,16,Байхгүй,Хан-Уул,Лизинггүй,Тагтгүй,46.0,Төмөр,7,Вакум,2,Паркет
3 өрөө,2020,Бусад,23,Байхгүй,Баянгол,Лизинггүй,1 тагттай,80.0,Бүргэд,15,Вакум,5,Паркет
2 өрөө,1989,Өлзийт хороолол,9,Байхгүй,Сонгино Хайрхан,Банкны лизингтэй,Тагтгүй,51.0,Бүргэд,9,Модон вакум,3,Паркет
3 өрөө,2020,Хүннү,9,Байгаа,Хан-Уул,Хувь лизингтэй,1 тагттай,90.0,Бүргэд,5,Вакум,5,Паркет
3 өрөө,2019,Зайсан,12,Байхгүй,Хан-Уул,Банкны лизингтэй,1 тагттай,90.52,Бүргэд,11,Вакум,3,Паркет
4 өрөө,2019,King Tower,12,Байхгүй,Хан-Уул,Лизинггүй,Тагтгүй,165.0,Бүргэд,8,Вакум,4,Паркет
4 өрөө,2018,Бусад,12,Байхгүй,Баянзүрх,Лизинггүй,2 тагттай,140.0,Бүргэд,3,Вакум,5,Паркет
2 өрөө,2010,1-р хороолол,11,Байхгүй,Баянгол,Лизинггүй,1 тагттай,53.0,Бүргэд,7,Вакум,2,Паркет
3 өрөө,2019,Бусад,16,Байхгүй,Баянзүрх,Хувь лизингтэй,1 тагттай,109.5,Бүргэд,11,Вакум,5,Паркет
4 өрөө,1991,6-р бичил,9,Байгаа,Баянгол,Лизинггүй,2 тагттай,50.0,Бүргэд,6,Вакум,5,Паркет
4 өрөө,1990,6-р бичил,9,Байхгүй,Баянгол,Лизинггүй,1 тагттай,48.0,Бүргэд,5,Вакум,5,Паркет
3 өрөө,2017,Баянмонгол хороолол,16,Байгаа,Баянзүрх,Лизинггүй,1 тагттай,67.0,Бүргэд,5,Вакум,4,Паркет
4 өрөө,2019,Яармаг,9,Байхгүй,Хан-Уул,Хувь лизингтэй,2 тагттай,140.0,Бүргэд,2,Вакум,5,Паркет
2 өрөө,2010,Офицер,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,46.5,Бүргэд,10,Вакум,3,Паркет
4 өрөө,2005,Бага тойрог,6,Байхгүй,Сүхбаатар,Банкны лизингтэй,1 тагттай,112.0,Бүргэд,4,Мод,4,Паркет
3 өрөө,2007,Төмөр зам,6,Байхгүй,Баянгол,Лизинггүй,1 тагттай,68.0,Бүргэд,4,Вакум,3,Паркет
3 өрөө,2010,Бусад,10,Байгаа,Хан-Уул,Хувь лизингтэй,2 тагттай,103.0,Бүргэд,1,Вакум,4,Паркет
5+ өрөө,1998,1-р хороолол,9,Байхгүй,Сонгино Хайрхан,Лизинггүй,Тагтгүй,154.0,Бүргэд,1,Вакум,7,Паркет
2 өрөө,1990,Бусад,9,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,52.2,Вакум,7,Мод,4,Мод
4 өрөө,2020,Бусад,24,Байгаа,Сүхбаатар,Хувь лизингтэй,1 тагттай,117.0,Төмөр вакум,10,Модон вакум,4,Паркет
4 өрөө,2018,Офицер,12,Байхгүй,Баянзүрх,Лизинггүй,Тагтгүй,105.0,Бүргэд,11,Вакум,3,Паркет
1 өрөө,2014,Нарны хороолол,12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,39.51,Төмөр,10,Вакум,1,Паркет
2 өрөө,2010,Их Монгол хороолол,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,47.0,Бүргэд,7,Вакум,2,Паркет
3 өрөө,2015,King Tower,9,Байгаа,Хан-Уул,Хувь лизингтэй,2 тагттай,174.0,Бүргэд,10,Модон вакум,6,Паркет
2 өрөө,2017,Олимп хотхон,16,Байхгүй,Баянзүрх,Банкны лизингтэй,2 тагттай,58.0,Бүргэд,2,Вакум,4,Паркет
1 өрөө,2018,River stone,12,Байгаа,Хан-Уул,Лизинггүй,1 тагттай,40.1,Бүргэд,5,Вакум,2,Паркет
2 өрөө,2019,100 айл,9,Байхгүй,Сүхбаатар,Банкны лизингтэй,1 тагттай,53.4,Бүргэд,4,Вакум,3,Паркет
3 өрөө,2009,13-р хороолол,5,Байхгүй,Баянзүрх,Лизинггүй,2 тагттай,79.0,Төмөр,3,Вакум,4,Паркет
2 өрөө,1996,1-р хороолол,9,Байхгүй,Сонгино Хайрхан,Банкны лизингтэй,1 тагттай,18.0,Бүргэд,2,Вакум,3,Паркет
3 өрөө,2015,6-р бичил,9,Байхгүй,Баянгол,Лизинггүй,2 тагттай,76.63,Бүргэд,5,Вакум,5,Паркет
3 өрөө,2006,Бусад,6,Байхгүй,Сүхбаатар,Хувь лизингтэй,2 тагттай,94.0,Бүргэд,6,Вакум,5,Паркет
4 өрөө,2018,220 мянгат,16,Байгаа,Сүхбаатар,Лизинггүй,1 тагттай,123.0,Төмөр,9,Вакум,6,Паркет
2 өрөө,2008,Баянмонгол хороолол,8,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,84.7,Бүргэд,4,Вакум,3,Паркет
4 өрөө,2020,Бусад,21,Байгаа,Сүхбаатар,Лизинггүй,1 тагттай,117.0,Бүргэд,20,Төмөр вакум,5,Паркет
3 өрөө,2019,19-р хороолол,12,Байхгүй,Хан-Уул,Лизинггүй,Тагтгүй,115.0,Бүргэд,8,Вакум,5,Паркет
3 өрөө,2015,"3, 4 хороолол",5,Байхгүй,Баянгол,Лизинггүй,1 тагттай,65.0,Төмөр,5,Вакум,4,Паркет
2 өрөө,1990,Бусад,5,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,40.0,Бүргэд,1,Вакум,3,Паркет
1 өрөө,2020,Дамбадаржаа,5,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,27.0,Бүргэд,3,Вакум,1,Паркет
2 өрөө,2020,120 мянгат,23,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,55.0,Төмөр,2,Вакум,2,Паркет
3 өрөө,2020,Яармаг,12,Байгаа,Хан-Уул,Лизинггүй,1 тагттай,74.0,Бүргэд,11,Вакум,4,Паркет
1 өрөө,1995,Бага тойрог,5,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,41.0,Төмөр вакум,4,Вакум,2,Паркет
4 өрөө,2008,Бусад,6,Байгаа,Хан-Уул,Лизинггүй,2 тагттай,108.0,Бүргэд,1,Вакум,5,Паркет
1 өрөө,1999,6-р бичил,6,Байхгүй,Баянгол,Лизинггүй,1 тагттай,48.0,Бүргэд,2,Вакум,2,Цемент
2 өрөө,2007,Бусад,11,Байхгүй,Баянзүрх,Банкны лизингтэй,1 тагттай,41.5,Бүргэд,7,Вакум,3,Паркет
3 өрөө,2016,Баянмонгол хороолол,12,Байгаа,Баянзүрх,Лизинггүй,1 тагттай,72.88,Бүргэд,5,Вакум,4,Паркет
2 өрөө,2013,14-р хороолол,9,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,60.98,Бүргэд,6,Вакум,3,Паркет
4 өрөө,2018,King Tower,13,Байгаа,Хан-Уул,Лизинггүй,Тагтгүй,193.0,Төмөр вакум,10,Вакум,5,Паркет
3 өрөө,2019,Яармаг,2,Байгаа,Хан-Уул,Банкны лизингтэй,1 тагттай,94.1,Бүргэд,4,Вакум,5,Паркет
3 өрөө,2013,19-р хороолол,12,Байхгүй,Хан-Уул,Лизинггүй,2 тагттай,88.0,Бүргэд,6,Вакум,5,Паркет
2 өрөө,2020,Нисэх,16,Байхгүй,Хан-Уул,Хувь лизингтэй,1 тагттай,43.0,Бүргэд,5,Вакум,2,Паркет
3 өрөө,2006,Төмөр зам,5,Байхгүй,Баянгол,Лизинггүй,1 тагттай,72.0,Бүргэд,4,Вакум,5,Паркет
2 өрөө,2019,"3, 4 хороолол",16,Байхгүй,Баянгол,Банкны лизингтэй,1 тагттай,41.96,Бүргэд,6,Вакум,2,Паркет
1 өрөө,2017,16-р хороолол,16,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,29.63,Мод,10,Модон вакум,1,Паркет
1 өрөө,1990,1-р хороолол,9,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,18.0,Бүргэд,1,Мод,3,Паркет
2 өрөө,1986,16-р хороолол,5,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,57.0,Бүргэд,5,Вакум,4,Паркет
3 өрөө,2008,120 мянгат,9,Байгаа,Хан-Уул,Лизинггүй,2 тагттай,72.0,Төмөр,4,Вакум,4,Ламинат
2 өрөө,2020,Бусад,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,47.0,Бүргэд,3,Вакум,3,Паркет
2 өрөө,2015,"3, 4 хороолол",9,Байхгүй,Баянгол,Лизинггүй,1 тагттай,55.0,Бүргэд,3,Вакум,3,Паркет
2 өрөө,2009,Зайсан,4,Байхгүй,Хан-Уул,Банкны лизингтэй,1 тагттай,51.2,Бүргэд,2,Вакум,2,Паркет
2 өрөө,2020,Нисэх,12,Байхгүй,Хан-Уул,Хувь лизингтэй,1 тагттай,67.24,Бүргэд,3,Вакум,2,Паркет
2 өрөө,2018,21-р хороолол,15,Байхгүй,Сонгино Хайрхан,Банкны лизингтэй,1 тагттай,56.68,Бүргэд,6,Вакум,2,Паркет
3 өрөө,2019,Нисэх,16,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,79.01,Төмөр,5,Вакум,5,Паркет
3 өрөө,2012,Их Монгол хороолол,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,49.5,Бүргэд,1,Вакум,4,Паркет
3 өрөө,2013,Зайсан,10,Байхгүй,Хан-Уул,Лизинггүй,2 тагттай,96.28,Төмөр,10,Вакум,4,Паркет
2 өрөө,2019,Дэнжийн 1000,10,Байхгүй,Чингэлтэй,Лизинггүй,1 тагттай,56.6,Бүргэд,6,Вакум,2,Паркет
3 өрөө,2019,Яармаг,10,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,80.0,Бүргэд,3,Вакум,4,Паркет
2 өрөө,2020,Яармаг,16,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,55.0,Бүргэд,4,Вакум,2,Паркет
